plot	site	time	total_precipitation_hourly	u_component_of_wind_10m	v_component_of_wind_10m	ws
plot1	Nouragues	2001-01-14 09:00:00	9.3802809715271e-06	-0.5751495361328125	-1.122100830078125	1.2609152476577505
plot1	Nouragues	2001-01-14 10:00:00	2.6173889636993408e-05	-0.7074127197265625	-0.9501495361328125	1.1845745637334657
plot1	Nouragues	2001-01-14 11:00:00	5.5584311382972373e-05	-0.816253662109375	-0.8082427978515625	1.1487064295048963
plot1	Nouragues	2001-01-14 12:00:00	8.660852910225003e-05	-1.4673614501953125	-1.2046661376953125	1.8985178768789701
plot1	Nouragues	2001-01-14 13:00:00	7.46995210647583e-05	-1.7814788818359375	-1.2202606201171875	2.159329291107821
plot1	Nouragues	2001-01-14 14:00:00	0.0004765897989500445	-2.8031005859375	-1.817108154296875	3.340547101792662
plot1	Nouragues	2001-01-14 15:00:00	6.537139415740967e-05	-2.7436676025390625	-1.6299285888671875	3.1912974035694366
plot1	Nouragues	2001-01-14 16:00:00	3.948807716369629e-05	-2.4492340087890625	-1.4830322265625	2.863237994793983
plot1	Nouragues	2001-01-14 17:00:00	2.6270747184753418e-05	-2.348358154296875	-1.4826507568359375	2.7772359078045215
plot1	Nouragues	2001-01-14 18:00:00	3.889203071594238e-06	-2.4253082275390625	-1.561492919921875	2.8845069141076456
plot1	Nouragues	2001-01-14 19:00:00	4.261731874066754e-07	-2.044769287109375	-1.7408733367919922	2.6854648410022177
plot1	Nouragues	2001-01-14 20:00:00	1.060962688370637e-06	-1.751251220703125	-1.69769287109375	2.439065788898841
plot1	Nouragues	2001-01-14 21:00:00	1.7583370208740234e-06	-1.6285858154296875	-1.622406005859375	2.298802515673617
plot1	Nouragues	2001-01-14 22:00:00	4.138052463531494e-05	-1.59698486328125	-1.467864990234375	2.1690984954826726
plot1	Nouragues	2001-01-14 23:00:00	0.00028133392339668717	-1.5854949951171875	-1.1244354248046875	1.943746229346143
plot1	Nouragues	2001-01-15 00:00:00	0.0005737841129302979	-1.4483184814453125	-0.9815826416015625	1.7496087865547423
plot1	Nouragues	2001-01-15 01:00:00	0.0008749943226575851	-1.2502899169921875	-0.853790283203125	1.513995615655608
plot1	Nouragues	2001-01-15 02:00:00	0.001353016123175621	-1.0754852294921875	-0.7935638427734375	1.3365672640810893
plot1	Nouragues	2001-01-15 03:00:00	0.003909986466169357	-0.8544464111328125	-0.2422943115234375	0.8881358020563971
plot1	Nouragues	2001-01-15 04:00:00	0.006842203438282013	-0.5282440185546875	-0.2150726318359375	0.5703489985120003
plot1	Nouragues	2001-01-15 05:00:00	0.006269782781600952	-0.333770751953125	-0.5677337646484375	0.658577666172519
plot1	Nouragues	2001-01-15 06:00:00	0.0026618987321853638	-0.23828125	-0.450439453125	0.5095818433118585
plot1	Nouragues	2001-01-15 07:00:00	0.0021737024187018505	-0.8466339111328125	-0.5034942626953125	0.9850357618112854
plot1	Nouragues	2001-01-15 08:00:00	0.0017016679048538208	-1.3369293212890625	-0.5171356201171875	1.4334605888256646
plot1	Nouragues	2001-01-15 09:00:00	0.000988352298747941	-1.1666717529296875	-0.404052734375	1.234658491745772
plot1	Nouragues	2001-01-15 10:00:00	0.0010717287660213515	-0.9577178955078125	-0.545440673828125	1.1021474928710733
plot1	Nouragues	2001-01-15 11:00:00	0.0011084452271461487	-0.9612884521484375	-0.54388427734375	1.1044843119644896
plot1	Nouragues	2001-01-15 12:00:00	0.0003535151481628418	-1.8104400634765625	-0.801910400390625	1.980089269122903
plot1	Nouragues	2001-01-15 13:00:00	0.0004824399948120117	-2.0467681884765625	-0.75341796875	2.181031557083713
plot1	Nouragues	2001-01-15 14:00:00	0.0003957446518256802	-2.044281005859375	-0.6539459228515625	2.1463294483679807
plot1	Nouragues	2001-01-15 15:00:00	0.00027836859226226807	-1.053497314453125	-0.4387969970703125	1.1412271448742666
plot1	Nouragues	2001-01-15 16:00:00	0.0004222135269174032	-0.669036865234375	-0.12250900268554688	0.6801608506681684
plot1	Nouragues	2001-01-15 17:00:00	0.002007651329051896	-0.7287750244140625	-0.6567764282226562	0.9810546941320996
plot1	Nouragues	2001-01-15 18:00:00	0.010357692178388334	-0.86395263671875	-1.9604167938232422	2.142346415498082
plot1	Nouragues	2001-01-15 19:00:00	0.0008880731775207096	-1.21533203125	-1.3492145538330078	1.8158777102153805
plot1	Nouragues	2001-01-15 20:00:00	0.0015845486832404276	-1.4095306396484375	-1.1883316040039062	1.843612927157496
plot1	Nouragues	2001-01-15 21:00:00	0.001614898443222046	-1.562347412109375	-1.3961467742919922	2.0952697323950433
plot1	Nouragues	2001-01-15 22:00:00	0.0019259899854660034	-1.22308349609375	-1.11529541015625	1.65523928491699
plot1	Nouragues	2001-01-15 23:00:00	0.0017408579587936401	-1.115447998046875	-0.9537353515625	1.4675950930576276
plot1	Nouragues	2001-01-16 00:00:00	0.001562952995300293	-1.116180419921875	-0.9469757080078125	1.4637696954691577
plot1	Nouragues	2001-01-16 01:00:00	0.0010684756562113762	-1.0764007568359375	-0.8752422332763672	1.387331091062109
plot1	Nouragues	2001-01-16 02:00:00	0.00045278947800397873	-0.9669189453125	-0.831024169921875	1.2749640849053665
